,,RESIDENTIAL,,,,COMMERCIAL,,,,INDUSTRIAL,,,,TRANSPORTATION,,,,TOTAL,,,
,,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price
Year,STATE,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh
2019,WA,0,0,0,0.00,"13,425","236,278",65,5.68,"73,859","2,085,743",15,3.54,0,0,0,0.00,"87,284","2,322,021",80,3.76
2019,US,"17,568,654","104,351,562","12,826,894",16.84,"33,244,254","282,829,905","2,327,158",11.75,"13,502,427","190,481,753","49,779",7.09,"547,293","5,768,016",33,9.49,"64,862,627","583,431,236","15,203,864",11.12
2018,CA,"1,838,238","8,526,720","1,499,980",21.56,"4,122,144","26,185,435","287,141",15.74,"1,457,512","12,833,195","2,051",11.36,"21,075","409,346",1,5.15,"7,438,968","47,954,696","1,789,173",15.51
2018,CT,"789,259","3,520,450","382,731",22.42,"1,531,762","9,104,007","61,872",16.83,"338,735","2,311,190","2,279",14.66,"13,010","99,233",2,13.11,"2,672,767","15,034,880","446,884",17.78
2018,DC,"94,515","623,821","45,457",15.15,"833,888","7,050,368","9,761",11.83,"15,982","192,662",1,8.30,"32,125","336,781",3,9.54,"976,510","8,203,632","55,222",11.90
2018,DE,"45,731","315,673","27,041",14.49,"221,785","2,568,318","11,037",8.64,"96,789","1,446,384",111,6.69,0,0,0,0.00,"364,305","4,330,375","38,189",8.41
2018,IL,"2,240,530","17,152,625","1,803,753",13.06,"2,946,093","34,427,447","277,992",8.56,"2,564,088","38,244,400","2,545",6.70,"37,205","551,353",3,6.75,"7,787,915","90,375,825","2,084,293",8.62
2018,MA,"1,838,670","7,954,073","1,114,652",23.12,"3,306,059","19,341,005","204,295",17.09,"652,362","4,171,960","3,935",15.64,"22,255","348,572",2,6.38,"5,819,346","31,815,610","1,322,884",18.29
2018,MD,"777,517","5,233,398","447,248",14.86,"2,290,416","22,591,650","96,543",10.14,"277,181","3,424,187","4,078",8.09,"39,440","530,275",5,7.44,"3,384,554","31,779,510","547,874",10.65
2018,ME,"122,157","651,944","90,598",18.74,"286,478","2,431,739","22,712",11.78,"248,862","2,708,264",969,9.19,0,0,0,0.00,"657,497","5,791,947","114,279",11.35
2018,MI,57,367,35,15.59,"298,965","3,905,778","5,390",7.65,"288,285","4,964,626",279,5.81,0,0,0,0.00,"587,308","8,870,771","5,704",6.62
2018,MT,1,6,2,11.67,"7,200","142,744",407,5.04,"105,541","2,893,432",38,3.65,0,0,0,0.00,"112,741","3,036,182",447,3.71
2018,NH,"195,956","924,666","113,956",21.19,"476,076","3,059,829","35,169",15.56,"232,753","1,732,431","1,435",13.44,0,0,0,0.00,"904,785","5,716,926","150,560",15.83
2018,NJ,"645,107","3,821,995","419,010",16.88,"3,095,543","25,812,509","147,926",11.99,"603,594","5,653,462","4,002",10.68,"28,094","309,902",6,9.07,"4,372,338","35,597,868","570,944",12.28
2018,NV,0,0,0,0.00,"160,802","3,317,597",24,4.85,"40,216","1,500,508",5,2.68,0,0,0,0.00,"201,018","4,818,105",29,4.17
2018,NY,"1,759,307","8,289,915","1,126,285",21.22,"6,872,915","50,587,317","321,254",13.59,"914,122","15,133,652","3,740",6.04,"312,442","2,627,010",4,11.89,"9,858,786","76,637,894","1,451,283",12.86
2018,OH,"3,233,711","25,290,120","2,366,296",12.79,"3,690,294","37,624,343","382,083",9.81,"2,882,958","43,138,253","11,042",6.68,"2,454","33,665",1,7.29,"9,809,418","106,086,381","2,759,422",9.25
2018,OR,0,0,0,0.00,"62,553","965,495",552,6.48,"83,978","1,628,623",64,5.16,0,0,0,0.00,"146,531","2,594,118",616,5.65
2018,PA,"2,817,963","18,403,932","1,638,102",15.31,"2,794,446","33,016,874","311,467",8.46,"3,171,679","47,029,876","8,700",6.74,"54,696","703,259",6,7.78,"8,838,784","99,153,941","1,958,275",8.91
2018,RI,"77,958","350,823","50,242",22.22,"401,430","2,514,381","14,502",15.97,"86,947","581,403",475,14.95,"4,586","26,966",1,17.01,"570,921","3,473,573","65,220",16.44
2018,VA,0,0,0,0.00,"17,998","299,804",58,6.00,"32,064","476,672",9,6.73,0,0,0,0.00,"50,062","776,476",67,6.45
2018,WA,0,0,0,0.00,"1,210","34,644",1,3.49,"67,210","1,994,083",15,3.37,0,0,0,0.00,"68,420","2,028,727",16,3.37
2018,US,"16,476,677","101,060,528","11,125,388",16.30,"33,418,057","284,981,284","2,190,186",11.73,"14,160,858","192,059,263","45,773",7.37,"567,382","5,976,362",34,9.49,"64,622,973","584,077,437","13,361,381",11.06
