,,RESIDENTIAL,,,,COMMERCIAL,,,,INDUSTRIAL,,,,TRANSPORTATION,,,,TOTAL,,,
,,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price
Year,STATE,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh
2018,KS,"1,894,142","14,187,192","1,266,044",13.35,"1,723,136","16,168,750","234,091",10.66,"887,449","11,681,037","24,185",7.60,0,0,0,0.00,"4,504,726","42,036,979","1,524,320",10.72
2018,KY,"2,936,379","27,712,722","1,980,209",10.60,"1,945,913","19,980,485","305,417",9.74,"1,642,598","28,917,429","6,750",5.68,0,0,0,0.00,"6,524,890","76,610,636","2,292,376",8.52
2018,LA,"3,074,086","32,065,538","2,085,055",9.59,"2,184,935","24,690,904","292,752",8.85,"2,002,500","37,416,715","19,558",5.35,"1,189","12,915",1,9.21,"7,262,710","94,186,072","2,397,366",7.71
2018,MA,"4,383,449","20,284,674","2,784,243",21.61,"4,456,596","25,952,481","408,972",17.17,"997,600","6,699,302","10,503",14.89,"22,255","348,572",2,6.38,"9,859,899","53,285,029","3,203,720",18.50
2018,MD,"3,741,620","28,138,474","2,332,517",13.30,"3,082,523","29,547,518","254,163",10.43,"318,402","3,870,188","8,801",8.23,"39,440","530,275",5,7.44,"7,181,985","62,086,455","2,595,486",11.57
2018,ME,"820,564","4,872,001","709,848",16.84,"556,411","4,447,245","96,066",12.51,"282,922","3,035,573","3,064",9.32,0,0,0,0.00,"1,659,897","12,354,819","808,978",13.44
2018,MI,"5,426,835","35,131,422","4,365,529",15.45,"4,339,291","38,925,268","543,261",11.15,"2,187,188","30,806,023","5,972",7.10,730,"6,783",2,10.76,"11,954,044","104,869,496","4,914,764",11.40
2018,MN,"3,001,391","22,837,140","2,420,325",13.14,"2,429,217","23,398,557","295,855",10.38,"1,688,832","22,446,853","9,066",7.52,"2,475","25,832",1,9.58,"7,121,914","68,708,382","2,725,247",10.37
2018,MO,"4,248,638","37,463,390","2,792,459",11.34,"2,931,288","31,179,283","384,493",9.40,"966,201","13,389,587","8,085",7.22,"2,008","23,575",2,8.52,"8,148,136","82,055,835","3,185,039",9.93
2018,MS,"2,146,535","19,310,527","1,290,281",11.12,"1,515,723","14,530,226","236,871",10.43,"993,099","16,549,315","10,988",6.00,0,0,0,0.00,"4,655,357","50,390,068","1,538,140",9.24
2018,MT,"569,768","5,197,686","509,526",10.96,"497,390","4,921,231","108,695",10.11,"245,120","4,719,928","9,915",5.19,0,0,0,0.00,"1,312,279","14,838,845","628,136",8.84
2018,NC,"6,834,735","61,622,454","4,550,420",11.09,"4,228,751","49,298,402","691,673",8.58,"1,732,371","27,353,560","10,025",6.33,"1,042","12,988",1,8.02,"12,796,899","138,287,404","5,252,119",9.25
2018,ND,"526,145","5,133,171","382,596",10.25,"621,753","6,835,913","75,148",9.10,"694,475","8,700,422","8,985",7.98,0,0,0,0.00,"1,842,373","20,669,506","466,729",8.91
2018,NE,"1,114,442","10,412,008","849,898",10.70,"843,309","9,553,396","153,749",8.83,"833,976","10,974,088","61,968",7.60,0,0,0,0.00,"2,791,727","30,939,492","1,065,615",9.02
2018,NH,"913,613","4,641,013","622,671",19.69,"702,541","4,442,560","107,805",15.81,"263,361","1,962,711","3,176",13.42,0,0,0,0.00,"1,879,514","11,046,284","733,652",17.01
2018,NJ,"4,550,431","29,530,689","3,568,044",15.41,"4,736,982","38,807,065","521,429",12.21,"741,934","7,369,106","11,877",10.07,"28,094","309,902",6,9.07,"10,057,440","76,016,762","4,101,356",13.23
2018,NM,"865,755","6,826,442","889,841",12.68,"905,498","9,035,272","143,874",10.02,"478,397","8,186,897","9,360",5.84,0,0,0,0.00,"2,249,649","24,048,611","1,043,075",9.35
2018,NV,"1,593,360","13,449,743","1,183,660",11.85,"938,631","12,123,896","164,982",7.74,"744,443","12,198,273","3,446",6.10,694,"8,351",1,8.31,"3,277,128","37,780,263","1,352,089",8.67
2018,NY,"9,658,622","52,153,246","7,190,906",18.52,"11,128,003","76,745,463","1,106,650",14.50,"1,087,828","18,076,792","6,884",6.02,"358,602","2,954,350",8,12.14,"22,233,054","149,929,851","8,304,448",14.83
2018,OH,"6,839,823","54,451,714","4,964,855",12.56,"4,768,817","47,191,540","630,210",10.11,"3,591,707","51,235,995","18,715",7.01,"2,632","35,918",2,7.33,"15,202,980","152,915,167","5,613,782",9.94
2018,OK,"2,484,031","24,116,808","1,764,980",10.30,"1,712,885","21,229,143","282,875",8.07,"1,027,324","19,229,365","18,700",5.34,0,0,0,0.00,"5,224,240","64,575,316","2,066,555",8.09
2018,OR,"2,079,228","18,930,583","1,750,240",10.98,"1,467,790","16,470,027","237,942",8.91,"814,163","13,899,298","24,821",5.86,"2,381","25,996",2,9.16,"4,363,562","49,325,904","2,013,005",8.85
2018,PA,"7,764,870","55,896,453","5,390,428",13.89,"3,864,304","43,221,520","716,936",8.94,"3,361,585","49,155,499","11,743",6.84,"54,696","703,259",6,7.78,"15,045,455","148,976,731","6,119,113",10.10
2018,RI,"642,041","3,124,168","442,005",20.55,"613,083","3,697,587","60,128",16.58,"113,051","734,618","1,773",15.39,"4,586","26,966",1,17.01,"1,372,759","7,583,339","503,907",18.10
2018,SC,"3,962,861","31,852,419","2,290,200",12.44,"2,247,543","22,232,833","376,842",10.11,"1,680,837","27,555,886","4,324",6.10,0,0,0,0.00,"7,891,241","81,641,138","2,671,366",9.67
2018,SD,"581,764","5,018,360","400,150",11.59,"471,755","4,903,243","72,106",9.62,"228,011","2,935,335","3,923",7.77,0,0,0,0.00,"1,281,530","12,856,938","476,179",9.97
2018,TN,"4,751,657","44,381,957","2,882,992",10.71,"3,881,859","36,930,451","491,567",10.51,"1,227,684","21,598,775","1,010",5.68,0,0,0,0.00,"9,861,200","102,911,183","3,375,569",9.58
2018,TX,"17,609,632","157,267,913","11,148,784",11.20,"11,714,651","143,524,631","1,591,150",8.16,"6,654,236","123,438,829","125,714",5.39,"15,123","187,255",3,8.08,"35,993,641","424,418,628","12,865,651",8.48
2018,UT,"1,011,446","9,714,507","1,091,162",10.41,"994,353","12,083,833","130,053",8.23,"553,971","9,392,709","9,666",5.90,"5,439","51,359",1,10.59,"2,565,210","31,242,408","1,230,882",8.21
2018,VA,"5,624,478","47,962,606","3,431,574",11.73,"4,346,838","52,268,211","431,058",8.32,"1,216,724","17,736,936","3,704",6.86,"16,434","198,595",1,8.28,"11,204,475","118,166,348","3,866,337",9.48
2018,VT,"381,309","2,116,045","315,138",18.02,"305,338","2,003,515","57,037",15.24,"150,385","1,411,388",204,10.66,0,0,0,0.00,"837,032","5,530,948","372,379",15.13
2018,WA,"3,446,381","35,338,978","3,076,868",9.75,"2,562,244","29,396,404","384,366",8.72,"1,191,154","25,263,272","27,284",4.72,670,"7,137",6,9.38,"7,200,449","90,005,791","3,488,524",8.00
2018,WI,"3,146,091","22,441,335","2,700,245",14.02,"2,571,408","24,093,421","354,557",10.67,"1,790,668","24,424,585","5,789",7.33,29,208,1,13.85,"7,508,196","70,959,549","3,060,592",10.58
2018,WV,"1,306,097","11,679,455","859,039",11.18,"718,595","7,774,429","144,478",9.24,"907,954","14,192,929","11,515",6.40,0,0,0,0.00,"2,932,646","33,646,813","1,015,032",8.72
2018,WY,"310,226","2,748,356","272,427",11.29,"359,772","3,757,211","58,318",9.58,"694,804","10,359,111","10,940",6.71,0,0,0,0.00,"1,364,803","16,864,678","341,685",8.09
2018,US,"189,032,969","1,469,093,059","133,893,321",12.87,"147,425,170","1,381,754,845","18,605,393",10.67,"69,218,432","1,000,672,553","840,321",6.92,"743,609","7,664,804",83,9.70,"406,420,180","3,859,185,261","153,339,118",10.53
