,PRODUCT TYPE,COUNTRY,MEASURE,Year,Total Imports,Population,Meat Imports Per Capita
114,,World (quantity),"1,000 head",2023,19.5,343477335,0.005677230493243463
115,Live poultry,Canada,Million dollars,2023,42.7,343477335,0.01243167908007671
116,,World,Million dollars,2023,42.7,343477335,0.01243167908007671
117,,World (quantity),"1,000 head",2023,12259.3,343477335,3.5691729120933116
118,Bird eggs,Canada,Million dollars,2023,54.2,343477335,0.01577978937096388
119,,United Kingdom,Million dollars,2023,16.9,343477335,0.0049202664274776665
120,,Netherlands,Million dollars,2023,15.3,343477335,0.004454442387006409
121,,China,Million dollars,2023,8.0,343477335,0.0023291202023562924
122,,Thailand,Million dollars,2023,6.8,343477335,0.0019797521720028486
123,,Turkey,Million dollars,2023,4.9,343477335,0.0014265861239432292
124,,Taiwan,Million dollars,2023,4.0,343477335,0.0011645601011781462
125,,Rest of world,Million dollars,2023,18.7,343477335,0.0054443184730078335
126,,World,Million dollars,2023,128.8,343477335,0.03749883525793631
127,,,,2023,2023.0,343477335,0.5889762711708474
128,Total vegetable oils,Canada,Million dollars,2023,5058.3,343477335,1.4726735899473542
129,,Indonesia,Million dollars,2023,2135.3,343477335,0.6216712960114239
130,,Spain,Million dollars,2023,809.6,343477335,0.2357069644784568
131,,Italy,Million dollars,2023,807.6,343477335,0.23512468442786771
132,,Mexico,Million dollars,2023,387.3,343477335,0.112758531796574
133,,Philippines,Million dollars,2023,359.9,343477335,0.1047812951035037
134,,Turkey,Million dollars,2023,287.1,343477335,0.08358630126206146
135,,Rest of world,Million dollars,2023,1505.5,343477335,0.4383113080809248
136,,World,Million dollars,2023,11350.6,343477335,3.3046139711081666
137,,World (quantity),"1,000 metric tons",2023,6605.2,343477335,1.9230380950754726
138,Crude vegetable oils,Canada,Million dollars,2023,1290.6,343477335,0.37574531664512884
139,,Philippines,Million dollars,2023,150.0,343477335,0.04367100379418048
140,,Argentina,Million dollars,2023,52.3,343477335,0.01522662332290426
141,,Mexico,Million dollars,2023,46.7,343477335,0.013596239181254856
142,,Indonesia,Million dollars,2023,32.4,343477335,0.009432936819542983
143,,Spain,Million dollars,2023,23.5,343477335,0.006841790594421609
144,,Rest of world,Million dollars,2023,86.9,343477335,0.025300068198095226
145,,World,Million dollars,2023,1682.4,343477335,0.4898139785555283
146,,World (quantity),"1,000 metric tons",2023,1291.5,343477335,0.37600734266789393
147,Refined vegetable oils,Canada,Million dollars,2023,3767.7,343477335,1.0969282733022254
148,,Indonesia,Million dollars,2023,2103.0,343477335,0.6122674731944103
149,,Italy,Million dollars,2023,803.0,343477335,0.23378544031151283
150,,Spain,Million dollars,2023,786.1,343477335,0.22886517388403518
151,,Mexico,Million dollars,2023,340.6,343477335,0.09916229261531914
152,,Turkey,Million dollars,2023,278.0,343477335,0.08093692703188116
153,,Rest of world,Million dollars,2023,1589.8,343477335,0.4628544122132542
154,,World,Million dollars,2023,9668.2,343477335,2.8147999925526386
155,,World (quantity),"1,000 metric tons",2023,5313.6,343477335,1.5470016384050496
156,Olive oiL,Italy,Million dollars,2023,706.7,343477335,0.20574865587564897
157,,Spain,Million dollars,2023,706.1,343477335,0.20557397186047224
158,,Tunisia,Million dollars,2023,215.8,343477335,0.06282801745856098
159,,Turkey,Million dollars,2023,212.7,343477335,0.061925483380147923
160,,Greece,Million dollars,2023,100.9,343477335,0.029376028552218738
161,,Rest of world,Million dollars,2023,229.8,343477335,0.06690397781268449
162,,World,Million dollars,2023,2172.0,343477335,0.6323561349397333
163,,World (quantity),"1,000 metric tons",2023,359.5,343477335,0.10466483909338589
164,Tropical oils,Indonesia,Million dollars,2023,2134.3,343477335,0.6213801559861294
165,,Philippines,Million dollars,2023,359.9,343477335,0.1047812951035037
166,,Malaysia,Million dollars,2023,258.9,343477335,0.0753761525487555
167,,Colombia,Million dollars,2023,48.9,343477335,0.014236747236902837
168,,Sri Lanka,Million dollars,2023,25.4,343477335,0.007394956642481228
169,,Mexico,Million dollars,2023,17.4,343477335,0.005065836440124935
170,,Rest of world,Million dollars,2023,77.7,343477335,0.02262157996538549
171,,World,Million dollars,2023,2922.5,343477335,0.850856723923283
172,,World (quantity),"1,000 metric tons",2023,2605.6,343477335,0.7585944499074444
173,Oilseeds,Canada,Million dollars,2023,459.8,343477335,0.1338661836304279
174,,Brazil,Million dollars,2023,216.9,343477335,0.06314827148638498
175,,Argentina,Million dollars,2023,125.0,343477335,0.036392503161817066
176,,Chile,Million dollars,2023,81.0,343477335,0.02358234204885746
177,,India,Million dollars,2023,64.1,343477335,0.018662075621379788
178,,Bulgaria,Million dollars,2023,60.3,343477335,0.017555743525260552
179,,Rest of world,Million dollars,2023,376.6,343477335,0.10964333352592245
180,,World,Million dollars,2023,1383.7,343477335,0.40285045300005023
181,,World (quantity),"1,000 metric tons",2023,1372.8,343477335,0.39967702672433975
182,"Total red meats, fresh and frozen",Canada,Million dollars,2022,3682.4,341534046,1.0781941194817222
183,,Australia,Million dollars,2022,2487.0,341534046,0.7281850899280478
184,,Mexico,Million dollars,2022,2121.1,341534046,0.6210508219728115
185,,New Zealand,Million dollars,2022,1287.4,341534046,0.37694631474602686
186,,Brazil,Million dollars,2022,557.1,341534046,0.16311697370282083
187,,Uruguay,Million dollars,2022,302.6,341534046,0.08860024455658515
188,,Nicaragua,Million dollars,2022,355.0,341534046,0.1039427852530989
189,,Rest of world,Million dollars,2022,805.5,341534046,0.2358476437221723
190,,World,Million dollars,2022,11598.1,341534046,3.3958839933632854
191,,World (quantity),"1,000 metric tons",2022,1832.1,341534046,0.5364326108794436
192,Fresh or chilled red meats,Canada,Million dollars,2022,3261.2,341534046,0.9548682007532566
193,,Mexico,Million dollars,2022,1735.2,341534046,0.5080606224540203
194,,Australia,Million dollars,2022,570.2,341534046,0.1669526088769493
195,,Nicaragua,Million dollars,2022,94.0,341534046,0.027522878348707876
196,,New Zealand,Million dollars,2022,87.2,341534046,0.025531861617099222
197,,Argentina,Million dollars,2022,67.8,341534046,0.019851608000451
198,,Rest of world,Million dollars,2022,132.5,341534046,0.038795546608550995
199,,World,Million dollars,2022,5948.1,341534046,1.7415833266590353
200,,World (quantity),"1,000 metric tons",2022,931.8,341534046,0.2728278515460213
201,,,,2022,,341534046,
202,Frozen red meats and parts,Australia,Million dollars,2022,763.2,341534046,0.22346234846525373
203,,New Zealand,Million dollars,2022,809.8,341534046,0.23710666900833657
204,,Brazil,Million dollars,2022,549.6,341534046,0.16092099936648777
205,,Canada,Million dollars,2022,417.8,341534046,0.12233041036266118
206,,Mexico,Million dollars,2022,367.3,341534046,0.10754418316468514
207,,Uruguay,Million dollars,2022,262.9,341534046,0.07697622040292872
208,,Rest of world,Million dollars,2022,909.2,341534046,0.26621064887920426
209,,World,Million dollars,2022,4079.8,341534046,1.1945514796495573
210,,World (quantity),"1,000 metric tons",2022,760.1,341534046,0.22255467907290274
211,,,,2022,,341534046,
212,Fowl and other meats,Chile,Million dollars,2022,406.5,341534046,0.11902180902925268
213,,Canada,Million dollars,2022,140.2,341534046,0.041050080260519616
214,,New Zealand,Million dollars,2022,34.7,341534046,0.010160041262767696
215,,China ,Million dollars,2022,7.2,341534046,0.0021081353628797524
216,,Rest of world,Million dollars,2022,14.2,341534046,0.004157711410123956
217,,World,Million dollars,2022,602.8,341534046,0.17649777732554367
218,,World (quantity),"1,000 metric tons",2022,131.8,341534046,0.03859058900382658
219,,,,2022,,341534046,
220,Prepared meats,Canada,Million dollars,2022,786.6,341534046,0.23031378839461294
221,,Brazil,Million dollars,2022,480.9,341534046,0.1408058744456768
222,,Italy,Million dollars,2022,238.4,341534046,0.06980270423757402
223,,Mexico,Million dollars,2022,75.4,341534046,0.022076861994601852
224,,Uruguay,Million dollars,2022,67.9,341534046,0.019880887658268776
225,,Poland,Million dollars,2022,54.5,341534046,0.015957413510687014
226,,Spain,Million dollars,2022,51.3,341534046,0.015020464460518235
227,,New Zealand,Million dollars,2022,72.1,341534046,0.021110633286615294
228,,Rest of world,Million dollars,2022,151.1,341534046,0.04424156296265702
229,,World,Million dollars,2022,1978.2,341534046,0.579210190951212
230,,World (quantity),"1,000 metric tons",2022,254.9,341534046,0.07463384777750678
231,Total fish and shellfish,Canada,Million dollars,2022,4112.8,341534046,1.2042137667294228
232,,Chile,Million dollars,2022,3302.3,341534046,0.9669021401163619
233,,India,Million dollars,2022,3015.5,341534046,0.8829280814949851
234,,Indonesia,Million dollars,2022,2607.2,341534046,0.7633792386250124
235,,Ecuador,Million dollars,2022,1858.9,341534046,0.5442795591746071
236,,Vietnam,Million dollars,2022,2193.8,341534046,0.6423371332063335
237,,China ,Million dollars,2022,1883.1,341534046,0.5513652363665086
238,,Rest of world,Million dollars,2022,10502.2,341534046,3.0750082233382967
239,,World,Million dollars,2022,29475.8,341534046,8.630413379051529
240,,World (quantity),"1,000 metric tons",2022,3086.4,341534046,0.9036873588877872
241,"Whole fish--fresh, chilled, or frozen",Canada,Million dollars,2022,938.3,341534046,0.2747310293041766
242,,Norway,Million dollars,2022,333.7,341534046,0.09770621813791296
243,,Chile,Million dollars,2022,219.3,341534046,0.06421028959437912
244,,Mexico,Million dollars,2022,202.6,341534046,0.059320586738810806
245,,Faroe Islands,Million dollars,2022,148.7,341534046,0.04353885117503043
246,,China ,Million dollars,2022,97.4,341534046,0.028518386714512203
247,,Rest of world,Million dollars,2022,1654.8,341534046,0.4845197775685297
248,,World,Million dollars,2022,3594.8,341534046,1.0525451392333518
249,,World (quantity),"1,000 metric tons",2022,445.1,341534046,0.13032375694691356
250,Fish fillets and mince,Chile,Million dollars,2022,2894.0,341534046,0.8473532972463893
251,,China ,Million dollars,2022,1237.2,341534046,0.3622479265215041
252,,Norway,Million dollars,2022,880.1,341534046,0.25769026845423193
253,,Vietnam,Million dollars,2022,973.3,341534046,0.2849789095403976
254,,Indonesia,Million dollars,2022,435.8,341534046,0.12760074876986055
255,,Canada,Million dollars,2022,311.1,341534046,0.09108901547109598
256,,Rest of world,Million dollars,2022,2102.5,341534046,0.6156048056187055
257,,World,Million dollars,2022,8834.0,341534046,2.586564971622185
258,,World (quantity),"1,000 metric tons",2022,912.8,341534046,0.26726471656064416
259,"Shellfish, fresh or frozen",Canada,Million dollars,2022,2292.6,341534046,0.6712654351302945
260,,India,Million dollars,2022,2250.1,341534046,0.6588215805577403
261,,Ecuador,Million dollars,2022,1424.1,341534046,0.41697160698292435
262,,Indonesia,Million dollars,2022,1028.0,341534046,0.3009948823667202
263,,Vietnam,Million dollars,2022,340.1,341534046,0.09958011623825053
264,,Argentina,Million dollars,2022,343.1,341534046,0.10045850597278375
265,,Mexico,Million dollars,2022,355.7,341534046,0.10414774285782331
266,,Japan,Million dollars,2022,185.5,341534046,0.054313765251971395
267,,Rest of world,Million dollars,2022,2301.8,341534046,0.6739591636495298
268,,World,Million dollars,2022,10521.0,341534046,3.080512799008038
269,,World (quantity),"1,000 metric tons",2022,920.2,341534046,0.2694314112391594
270,Prepared fish and shellfish,Thailand,Million dollars,2022,1066.7,341534046,0.31232610994219884
271,,Indonesia,Million dollars,2022,1111.5,341534046,0.32544339664456173
272,,Vietnam,Million dollars,2022,778.6,341534046,0.227971415769191
273,,India,Million dollars,2022,723.9,341534046,0.21195544294286842
274,,Canada,Million dollars,2022,570.8,341534046,0.1671282868238559
275,,China ,Million dollars,2022,397.0,341534046,0.11624024153656412
276,,Ecuador,Million dollars,2022,260.1,341534046,0.07615638998403106
277,,Mexico,Million dollars,2022,115.2,341534046,0.03373016580607604
278,,Rest of world,Million dollars,2022,1502.2,341534046,0.43983901973860606
279,,World,Million dollars,2022,6526.0,341534046,1.9107904691879531
280,,World (quantity),"1,000 metric tons",2022,808.4,341534046,0.23669675379888774
281,,,,2022,2022.0,341534046,0.5920346810753971
282,Total live animals,Canada,Million dollars,2022,1733.7,341534046,0.5076214275867537
283,,Mexico,Million dollars,2022,635.5,341534046,0.18607222543195592
284,,Rest of world,Million dollars,2022,0.0,341534046,0.0
285,,World,Million dollars,2022,2369.2,341534046,0.6936936530187096
286,,World (quantity),"1,000 head",2022,8134.9,341534046,2.3818708838181246
287,"Bovine animals, live",Canada,Million dollars,2022,1132.0,341534046,0.3314457264972055
288,,Mexico,Million dollars,2022,635.5,341534046,0.18607222543195592
289,,World,Million dollars,2022,1767.5,341534046,0.5175179519291614
290,,World (quantity),"1,000 head",2022,1647.8,341534046,0.4824702015212855
291,"Swine, live",Canada,Million dollars,2022,560.3,341534046,0.16405392275298958
292,,World,Million dollars,2022,560.3,341534046,0.16405392275298958
293,,World (quantity),"1,000 head",2022,6457.7,341534046,1.8907924628984134
294,"Sheep and goats, live",Canada,Million dollars,2022,1.9,341534046,0.0005563134985377124
295,,World,Million dollars,2022,1.9,341534046,0.0005563134985377124
296,,World (quantity),"1,000 head",2022,29.4,341534046,0.008608219398425656
297,Live poultry,Canada,Million dollars,2022,39.5,341534046,0.011565464838020864
298,,World,Million dollars,2022,39.5,341534046,0.011565464838020864
299,,World (quantity),"1,000 head",2022,11277.5,341534046,3.3020134103995007
300,Bird eggs,Canada,Million dollars,2022,60.3,341534046,0.017655633664117924
301,,United Kingdom,Million dollars,2022,20.9,341534046,0.006119448483914836
302,,Netherlands,Million dollars,2022,13.6,341534046,0.003982033463217309
303,,China,Million dollars,2022,6.8,341534046,0.0019910167316086547
304,,Thailand,Million dollars,2022,2.4,341534046,0.0007027117876265841
305,,Turkey,Million dollars,2022,5.7,341534046,0.0016689404956131372
306,,Taiwan,Million dollars,2022,5.8,341534046,0.0016982201534309115
307,,Rest of world,Million dollars,2022,24.1,341534046,0.007056397534083615
308,,World,Million dollars,2022,139.6,341534046,0.04087440231361297
309,,,,2022,2022.0,341534046,0.5920346810753971
310,Total vegetable oils,Canada,Million dollars,2022,4164.9,341534046,1.2194684684524832
311,,Indonesia,Million dollars,2022,2927.6,341534046,0.8571912622731614
312,,Spain,Million dollars,2022,856.3,341534046,0.25072170989360165
313,,Italy,Million dollars,2022,686.8,341534046,0.20109268989247414
314,,Mexico,Million dollars,2022,314.5,341534046,0.09208452383690029
315,,Philippines,Million dollars,2022,604.3,341534046,0.1769369721928103
316,,Turkey,Million dollars,2022,132.4,341534046,0.03876626695073322
317,,Rest of world,Million dollars,2022,1768.5,341534046,0.5178107485073391
318,,World,Million dollars,2022,11455.3,341534046,3.3540726419995037
319,,World (quantity),"1,000 metric tons",2022,5766.2,341534046,1.6883236290885038
320,Crude vegetable oils,Canada,Million dollars,2022,865.9,341534046,0.253532557044108
321,,Philippines,Million dollars,2022,228.4,341534046,0.06687473845579658
322,,Argentina,Million dollars,2022,58.4,341534046,0.017099320165580214
323,,Mexico,Million dollars,2022,27.2,341534046,0.007964066926434619
324,,Indonesia,Million dollars,2022,68.7,341534046,0.02011512492081097
325,,Spain,Million dollars,2022,21.0,341534046,0.006148728141732611
326,,Rest of world,Million dollars,2022,277.2,341534046,0.08116321147087047
327,,World,Million dollars,2022,1546.8,341534046,0.4528977471253334
328,,World (quantity),"1,000 metric tons",2022,952.3,341534046,0.278830181398665
329,Refined vegetable oils,Canada,Million dollars,2022,3299.0,341534046,0.9659359114083754
330,,Indonesia,Million dollars,2022,2859.0,341534046,0.8371054170101683
331,,Italy,Million dollars,2022,683.1,341534046,0.2000093425532165
332,,Spain,Million dollars,2022,835.3,341534046,0.24457298175186903
333,,Mexico,Million dollars,2022,287.3,341534046,0.08412045691046567
334,,Turkey,Million dollars,2022,117.7,341534046,0.034462157251520395
335,,Rest of world,Million dollars,2022,1827.1,341534046,0.5349686279885549
336,,World,Million dollars,2022,9908.5,341534046,2.90117489487417
337,,World (quantity),"1,000 metric tons",2022,4813.9,341534046,1.4094934476898386
338,Olive oiL,Italy,Million dollars,2022,609.6,341534046,0.17848879405715234
339,,Spain,Million dollars,2022,700.8,341534046,0.20519184198696255
340,,Tunisia,Million dollars,2022,193.9,341534046,0.05677325650866444
341,,Turkey,Million dollars,2022,76.2,341534046,0.022311099257144043
342,,Greece,Million dollars,2022,58.7,341534046,0.017187159139033535
343,,Rest of world,Million dollars,2022,157.6,341534046,0.04614474072081236
344,,World,Million dollars,2022,1796.8,341534046,0.5260968916697693
345,,World (quantity),"1,000 metric tons",2022,421.7,341534046,0.12347231701755437
346,Tropical oils,Indonesia,Million dollars,2022,2925.8,341534046,0.8566642284324415
347,,Philippines,Million dollars,2022,604.3,341534046,0.1769369721928103
348,,Malaysia,Million dollars,2022,397.5,341534046,0.11638663982565299
349,,Colombia,Million dollars,2022,37.4,341534046,0.010950592023847601
350,,Sri Lanka,Million dollars,2022,30.4,341534046,0.008901015976603399
351,,Mexico,Million dollars,2022,19.4,341534046,0.005680253616648221
352,,Rest of world,Million dollars,2022,131.8,341534046,0.03859058900382658
353,,World,Million dollars,2022,4146.6,341534046,1.2141102910718309
354,,World (quantity),"1,000 metric tons",2022,2570.4,341534046,0.7526043245480716
355,Oilseeds,Canada,Million dollars,2022,559.1,341534046,0.1637025668591763
356,,Brazil,Million dollars,2022,0.6,341534046,0.00017567794690664603
357,,Argentina,Million dollars,2022,172.6,341534046,0.0505366893934785
358,,Chile,Million dollars,2022,50.7,341534046,0.01484478651361159
359,,India,Million dollars,2022,65.8,341534046,0.019266014844095514
360,,Bulgaria,Million dollars,2022,89.1,341534046,0.026088175115636936
361,,Rest of world,Million dollars,2022,582.8,341534046,0.17064184576198882
362,,World,Million dollars,2022,1520.7,341534046,0.44525575643489435
363,,World (quantity),"1,000 metric tons",2022,1491.7,341534046,0.4367646556677398
364,"Total red meats, fresh and frozen",Canada,Million dollars,2021,3494.6,340161441,1.0273357232162008
365,,Australia,Million dollars,2021,2304.4,340161441,0.6774430379955969
366,,Mexico,Million dollars,2021,2091.7,340161441,0.6149139049537363
367,,New Zealand,Million dollars,2021,1306.3,340161441,0.38402353781185916
368,,Brazil,Million dollars,2021,361.5,340161441,0.1062730681458984
369,,Uruguay,Million dollars,2021,253.4,340161441,0.0744940400226021
370,,Nicaragua,Million dollars,2021,375.9,340161441,0.11050635218822465
371,,Rest of world,Million dollars,2021,764.3,340161441,0.22468743010763528
372,,World,Million dollars,2021,10952.1,340161441,3.2196770944417534
373,,World (quantity),"1,000 metric tons",2021,1746.7,340161441,0.5134914747730035
374,Fresh or chilled red meats,Canada,Million dollars,2021,3090.1,340161441,0.9084215985550226
375,,Mexico,Million dollars,2021,1789.7,340161441,0.5261325312882832
376,,Australia,Million dollars,2021,649.4,340161441,0.1909093511865738
377,,Nicaragua,Million dollars,2021,85.6,340161441,0.02516452180716156
378,,New Zealand,Million dollars,2021,86.5,340161441,0.02542910205980695
379,,Argentina,Million dollars,2021,60.4,340161441,0.017756274733090632
380,,Rest of world,Million dollars,2021,153.1,340161441,0.045008040755565824
381,,World,Million dollars,2021,5914.8,340161441,1.7388214203855046
382,,World (quantity),"1,000 metric tons",2021,882.4,340161441,0.2594062388158804
383,,,,2021,,340161441,
384,Frozen red meats and parts,Australia,Million dollars,2021,650.7,340161441,0.19129152266261715
385,,New Zealand,Million dollars,2021,906.1,340161441,0.266373518802209
386,,Brazil,Million dollars,2021,352.0,340161441,0.10348027659019707
387,,Canada,Million dollars,2021,402.4,340161441,0.11829677073833891
388,,Mexico,Million dollars,2021,289.9,340161441,0.08522423915766512
389,,Uruguay,Million dollars,2021,222.9,340161441,0.06552770923850831
390,,Rest of world,Million dollars,2021,875.2,340161441,0.25728959679471725
391,,World,Million dollars,2021,3699.2,340161441,1.0874836339842529
392,,World (quantity),"1,000 metric tons",2021,730.7,340161441,0.21480976734220739
393,,,,2021,,340161441,
394,Fowl and other meats,Chile,Million dollars,2021,249.3,340161441,0.0732887299827731
395,,Canada,Million dollars,2021,125.2,340161441,0.03680605292355873
