"Daily usage of transport by mode: Great Britain, since 1 March 2020 [notes a,b]",,,,,,,,,,,,,
"This worksheet contains 1 table. Notes are used throughout this table, please see the notes tab to find the related notes text.",,,,,,,,,,,,,
All figures are given as a percentage of the baseline equivalent day or week.,,,,,,,,,,,,,
"Annotations in this table: [x] for data not available, [z] for not applicable, [r] for revised data, [p] for provisional data.",,,,,,,,,,,,,
"Date
[note 1]",Weekday,"Cars
[note 2]","Light Commercial Vehicles
[note 2]","Heavy Goods Vehicles
[note 2]","All motor vehicles
[note 2]","National Rail
[notes 3,13, 15, 16, 17, 21, 23]","National Rail excluding Elizabeth Line [note 13, 21]","Transport for London Tube
[note 4, 20]","Transport for London Bus
[notes 4,7, 20]","Bus (excluding London)
[notes 5,11]","Cycling
[notes 6,12,18]",Revised,Notes by day
27-Dec-2022,Tue (BH),74%,63%,27%,69%,[x],[x],72%,75%,[x],37%,[z],"[notes 8, 13, 15]"
28-Dec-2022,Wed,75%,72%,48%,73%,[x],[x],86%,88%,46%,42%,[z],"[notes 9, 15]"
29-Dec-2022,Thu,77%,73%,49%,74%,[x],[x],100%,100%,55%,73%,[z],"[notes 9, 15]"
30-Dec-2022,Fri,76%,72%,49%,73%,[x],[x],98%,100%,52%,45%,[z],"[notes 9, 15]"
31-Dec-2022,Sat,76%,84%,63%,77%,[x],[x],89%,82%,56%,51%,[z],"[notes 9, 15]"
01-Jan-2023,Sun,71%,80%,40%,72%,[x],[x],82%,98%,[x],65%,[z],"[notes 8, 9, 15]"
02-Jan-2023,Mon (BH),71%,62%,27%,67%,[x],[x],59%,68%,[x],78%,[z],"[notes 8, 15]"
03-Jan-2023,Tue,78%,89%,71%,80%,[x],[x],59%,74%,65%,49%,[z],"[notes 9, 15]"
04-Jan-2023,Wed,82%,97%,88%,85%,[x],[x],60%,81%,74%,87%,[z],"[notes 9, 15]"
05-Jan-2023,Thu,83%,98%,91%,86%,[x],[x],78%,111%,78%,99%,[z],"[notes 9, 15]"
06-Jan-2023,Fri,85%,100%,92%,88%,[x],[x],74%,110%,79%,86%,[z],"[notes 9, 15]"
07-Jan-2023,Sat,87%,106%,94%,90%,[x],[x],87%,95%,74%,64%,[z],"[notes 9, 15]"
08-Jan-2023,Sun,87%,111%,102%,91%,[x],[x],91%,90%,84%,78%,[z],"[notes 9, 15]"
09-Jan-2023,Mon,88%,109%,101%,93%,[x],[x],75%,90%,84%,86%,[z],[note 15]
10-Jan-2023,Tue,87%,109%,99%,92%,[x],[x],83%,84%,81%,54%,[z],[note 15]
11-Jan-2023,Wed,88%,108%,99%,92%,52%,47%,83%,87%,82%,86%,[z],[z]
12-Jan-2023,Thu,88%,106%,98%,92%,56%,51%,85%,84%,82%,79%,[z],[z]
13-Jan-2023,Fri,88%,105%,97%,92%,77%,70%,76%,86%,84%,77%,[z],[z]
14-Jan-2023,Sat,89%,109%,97%,92%,82%,75%,95%,89%,78%,67%,[z],[z]
15-Jan-2023,Sun,92%,117%,108%,96%,90%,83%,106%,94%,91%,90%,[z],[z]
16-Jan-2023,Mon,89%,110%,101%,93%,89%,82%,72%,82%,84%,78%,[z],[z]
17-Jan-2023,Tue,88%,110%,100%,93%,89%,81%,77%,85%,86%,69%,[z],[z]
18-Jan-2023,Wed,87%,110%,100%,92%,82%,75%,78%,84%,81%,82%,[z],[z]
19-Jan-2023,Thu,87%,108%,98%,92%,82%,75%,81%,83%,84%,97%,[z],[z]
20-Jan-2023,Fri,89%,108%,98%,93%,83%,75%,73%,84%,85%,73%,[z],[z]
21-Jan-2023,Sat,90%,112%,100%,93%,83%,76%,93%,90%,82%,82%,[z],[z]
22-Jan-2023,Sun,90%,115%,107%,94%,83%,75%,96%,90%,92%,71%,[z],[z]
23-Jan-2023,Mon,90%,112%,102%,95%,83%,76%,71%,84%,86%,83%,[z],[z]
24-Jan-2023,Tue,90%,112%,101%,95%,84%,76%,77%,84%,90%,74%,[z],[z]
25-Jan-2023,Wed,90%,111%,101%,95%,86%,78%,79%,83%,85%,86%,[z],[z]
26-Jan-2023,Thu,90%,109%,99%,94%,87%,79%,81%,84%,88%,99%,[z],[z]
27-Jan-2023,Fri,91%,108%,98%,94%,87%,79%,74%,85%,87%,82%,[z],[z]
28-Jan-2023,Sat,94%,115%,100%,98%,87%,79%,92%,92%,86%,97%,[z],[z]
29-Jan-2023,Sun,95%,121%,108%,99%,87%,79%,90%,92%,95%,97%,[z],[z]
30-Jan-2023,Mon,90%,112%,102%,95%,87%,79%,72%,85%,89%,96%,[z],[z]
31-Jan-2023,Tue,91%,111%,100%,95%,86%,78%,78%,84%,92%,87%,[z],[z]
01-Feb-2023,Wed,90%,111%,101%,94%,81%,73%,63%,77%,81%,97%,[z],[z]
02-Feb-2023,Thu,90%,109%,100%,94%,80%,72%,77%,71%,89%,96%,[z],[z]
03-Feb-2023,Fri,92%,108%,98%,95%,71%,64%,66%,85%,89%,94%,[z],[z]
04-Feb-2023,Sat,93%,114%,102%,97%,71%,64%,97%,92%,88%,101%,[z],[z]
05-Feb-2023,Sun,98%,122%,110%,102%,71%,64%,102%,97%,100%,100%,[z],[z]
06-Feb-2023,Mon,91%,112%,103%,95%,72%,65%,74%,84%,90%,88%,[z],[z]
07-Feb-2023,Tue,91%,111%,101%,95%,72%,66%,80%,84%,93%,78%,[z],[z]
08-Feb-2023,Wed,90%,111%,102%,95%,80%,74%,79%,84%,88%,99%,[z],[z]
09-Feb-2023,Thu,91%,109%,100%,95%,81%,74%,80%,84%,90%,98%,[z],[z]
10-Feb-2023,Fri,92%,109%,98%,95%,92%,84%,74%,83%,87%,91%,[z],[z]
11-Feb-2023,Sat,95%,115%,104%,98%,92%,84%,100%,87%,88%,97%,[z],[z]
12-Feb-2023,Sun,97%,122%,113%,101%,92%,84%,132%,115%,100%,93%,[z],[z]
13-Feb-2023,Mon,92%,113%,103%,97%,92%,84%,74%,84%,81%,99%,[z],[z]
14-Feb-2023,Tue,91%,110%,101%,95%,91%,83%,82%,89%,85%,88%,[z],[z]
15-Feb-2023,Wed,91%,110%,101%,95%,85%,78%,81%,87%,78%,98%,[z],[z]
16-Feb-2023,Thu,90%,107%,99%,94%,85%,78%,81%,87%,79%,98%,[z],[z]
17-Feb-2023,Fri,90%,106%,98%,94%,84%,77%,75%,85%,78%,76%,[z],[z]
18-Feb-2023,Sat,96%,116%,103%,99%,84%,76%,107%,100%,86%,99%,[z],[z]
19-Feb-2023,Sun,101%,127%,112%,106%,83%,76%,107%,108%,99%,101%,[z],[z]
20-Feb-2023,Mon,92%,112%,103%,96%,84%,77%,74%,83%,84%,93%,[z],[z]
21-Feb-2023,Tue,92%,110%,101%,96%,85%,78%,80%,85%,90%,87%,[z],[z]
22-Feb-2023,Wed,91%,111%,102%,96%,94%,86%,82%,85%,84%,95%,[z],[z]
23-Feb-2023,Thu,92%,109%,100%,96%,88%,81%,85%,87%,87%,99%,[z],[z]
24-Feb-2023,Fri,93%,109%,99%,97%,89%,82%,79%,86%,86%,86%,[z],[z]
25-Feb-2023,Sat,97%,117%,104%,100%,90%,82%,110%,95%,88%,101%,[z],[z]
26-Feb-2023,Sun,100%,124%,115%,104%,90%,83%,114%,96%,99%,100%,[z],[z]
27-Feb-2023,Mon,93%,113%,104%,97%,89%,82%,76%,86%,89%,94%,[z],[z]
28-Feb-2023,Tue,92%,113%,101%,97%,89%,82%,81%,85%,92%,86%,[z],[z]
01-Mar-2023,Wed,92%,112%,102%,96%,84%,77%,81%,85%,87%,97%,[z],[z]
02-Mar-2023,Thu,92%,110%,101%,96%,89%,82%,81%,84%,90%,97%,[z],[z]
03-Mar-2023,Fri,93%,110%,100%,96%,84%,77%,74%,83%,90%,96%,[z],[z]
04-Mar-2023,Sat,97%,118%,102%,100%,85%,78%,94%,88%,89%,97%,[z],[z]
05-Mar-2023,Sun,99%,124%,112%,103%,85%,78%,95%,95%,100%,101%,[z],[z]
06-Mar-2023,Mon,92%,114%,104%,97%,85%,78%,72%,81%,89%,88%,[z],[z]
07-Mar-2023,Tue,91%,112%,102%,96%,84%,77%,79%,81%,93%,88%,[z],[z]
08-Mar-2023,Wed,86%,108%,100%,91%,86%,79%,78%,80%,83%,80%,[z],[note 10]
09-Mar-2023,Thu,82%,102%,96%,87%,86%,78%,77%,81%,80%,72%,[z],[note 10]
10-Mar-2023,Fri,83%,100%,90%,86%,90%,82%,72%,82%,75%,66%,[z],[note 10]
11-Mar-2023,Sat,92%,113%,99%,95%,89%,81%,94%,91%,86%,94%,[z],[note 10]
12-Mar-2023,Sun,97%,124%,112%,102%,89%,81%,93%,95%,101%,96%,[z],[z]
13-Mar-2023,Mon,92%,114%,103%,97%,89%,81%,73%,81%,87%,74%,[z],[z]
14-Mar-2023,Tue,92%,114%,103%,97%,89%,81%,82%,88%,94%,87%,[z],[z]
15-Mar-2023,Wed,91%,113%,103%,96%,81%,75%,9%,89%,84%,98%,[z],[z]
16-Mar-2023,Thu,93%,111%,101%,97%,76%,70%,56%,84%,86%,97%,[z],[z]
17-Mar-2023,Fri,96%,111%,101%,99%,76%,70%,74%,85%,91%,98%,[z],[z]
18-Mar-2023,Sat,102%,123%,105%,106%,72%,65%,87%,97%,92%,98%,[z],[z]
19-Mar-2023,Sun,112%,135%,114%,116%,72%,65%,94%,94%,102%,101%,[z],[z]
20-Mar-2023,Mon,94%,115%,105%,98%,73%,66%,74%,83%,89%,99%,[z],[z]
21-Mar-2023,Tue,93%,114%,103%,98%,73%,66%,80%,85%,95%,94%,[z],[z]
22-Mar-2023,Wed,93%,113%,103%,97%,77%,69%,80%,89%,90%,99%,[z],[z]
23-Mar-2023,Thu,93%,111%,102%,97%,83%,75%,82%,85%,91%,99%,[z],[z]
24-Mar-2023,Fri,95%,111%,101%,98%,84%,76%,74%,83%,90%,98%,[z],[z]
25-Mar-2023,Sat,99%,120%,106%,102%,88%,80%,84%,92%,90%,99%,[z],[z]
26-Mar-2023,Sun,99%,124%,118%,103%,88%,81%,84%,84%,97%,99%,[z],[z]
27-Mar-2023,Mon,95%,116%,106%,100%,88%,80%,73%,82%,89%,99%,[z],[z]
28-Mar-2023,Tue,92%,113%,104%,97%,88%,80%,80%,81%,89%,91%,[z],[z]
29-Mar-2023,Wed,93%,113%,105%,97%,88%,81%,79%,83%,87%,98%,[z],[z]
30-Mar-2023,Thu,94%,112%,104%,98%,87%,80%,74%,83%,90%,99%,[z],[z]
31-Mar-2023,Fri,95%,111%,100%,98%,82%,74%,70%,81%,85%,79%,[z],[z]
01-Apr-2023,Sat,99%,119%,111%,102%,81%,73%,89%,83%,88%,98%,[z],[z]
02-Apr-2023,Sun,104%,129%,125%,109%,81%,74%,107%,93%,101%,127%,[z],[z]
03-Apr-2023,Mon,94%,114%,106%,99%,81%,73%,73%,74%,75%,106%,[z],[z]
04-Apr-2023,Tue,94%,113%,106%,99%,80%,73%,82%,78%,79%,110%,[z],[z]
05-Apr-2023,Wed,92%,111%,106%,97%,83%,75%,80%,75%,71%,98%,[z],[z]
06-Apr-2023,Thu,97%,113%,103%,101%,84%,76%,79%,87%,77%,103%,[z],[z]
07-Apr-2023,Fri (BH),87%,81%,51%,84%,93%,85%,94%,93%,[x],112%,[z],[note 8]
08-Apr-2023,Sat,99%,112%,86%,101%,94%,86%,94%,91%,87%,[x],[z],[note 9]
09-Apr-2023,Sun,96%,113%,86%,99%,93%,85%,92%,94%,83%,[x],[z],[note 9]
10-Apr-2023,Mon (BH),82%,74%,40%,78%,97%,90%,92%,85%,[x],[x],[z],[note 8]
11-Apr-2023,Tue,92%,110%,98%,95%,98%,90%,72%,83%,75%,[x],[z],[note 18]
12-Apr-2023,Wed,89%,108%,102%,93%,98%,91%,76%,79%,68%,[x],[z],[z]
13-Apr-2023,Thu,91%,107%,102%,95%,98%,91%,78%,85%,74%,[x],[z],[z]
14-Apr-2023,Fri,91%,108%,101%,95%,94%,87%,73%,83%,70%,[x],[z],[z]
15-Apr-2023,Sat,99%,121%,110%,103%,95%,87%,93%,92%,88%,[x],[z],[z]
16-Apr-2023,Sun,103%,132%,121%,109%,95%,87%,88%,91%,96%,[x],[z],[z]
17-Apr-2023,Mon,95%,117%,106%,100%,94%,86%,71%,95%,87%,[x],[z],[z]
18-Apr-2023,Tue,96%,118%,106%,101%,95%,87%,78%,100%,93%,[x],[z],[z]
19-Apr-2023,Wed,95%,117%,106%,100%,89%,81%,80%,100%,88%,[x],[z],[z]
20-Apr-2023,Thu,96%,115%,104%,101%,86%,79%,86%,98%,92%,[x],[z],[z]
21-Apr-2023,Fri,96%,114%,103%,100%,88%,80%,79%,93%,85%,[x],[z],[z]
22-Apr-2023,Sat,101%,123%,108%,105%,88%,81%,105%,94%,90%,[x],[z],[z]
23-Apr-2023,Sun,102%,133%,123%,107%,89%,81%,104%,91%,101%,[x],[z],[z]
24-Apr-2023,Mon,96%,119%,108%,101%,89%,81%,76%,98%,89%,[x],[z],[z]
25-Apr-2023,Tue,97%,119%,107%,102%,87%,79%,90%,92%,96%,[x],[z],[z]
26-Apr-2023,Wed,96%,119%,107%,101%,95%,87%,87%,89%,90%,[x],[z],[z]
27-Apr-2023,Thu,95%,116%,106%,100%,95%,87%,85%,83%,87%,[x],[z],[z]
28-Apr-2023,Fri,100%,117%,106%,103%,90%,82%,76%,87%,91%,[x],[z],[z]
29-Apr-2023,Sat,104%,125%,112%,108%,91%,83%,104%,97%,98%,[x],[z],[z]
30-Apr-2023,Sun,104%,131%,110%,109%,90%,82%,103%,97%,114%,[x],[z],[z]
01-May-2023,Mon (BH),83%,77%,43%,80%,93%,85%,110%,97%,[x],[x],[z],[note 8]
02-May-2023,Tue,96%,118%,104%,101%,94%,85%,76%,80%,91%,[x],[z],[z]
03-May-2023,Wed,97%,117%,107%,102%,91%,83%,78%,86%,92%,[x],[z],[z]
04-May-2023,Thu,97%,116%,107%,101%,95%,87%,78%,86%,93%,[x],[z],[z]
05-May-2023,Fri,99%,116%,107%,103%,100%,91%,75%,86%,90%,[x],[z],[note 19]
06-May-2023,Sat,87%,106%,107%,91%,97%,87%,91%,77%,77%,[x],[z],[note 19]
07-May-2023,Sun,103%,125%,110%,107%,97%,87%,111%,97%,119%,[x],[z],[note 19]
08-May-2023,Mon (BH),78%,72%,43%,75%,[x],[x],84%,88%,[x],[x],[z],"[notes 8, 15, 19]"
09-May-2023,Tue,96%,119%,105%,101%,92%,84%,79%,85%,95%,[x],[z],[note 16]
10-May-2023,Wed,96%,118%,108%,101%,93%,83%,80%,88%,89%,[x],[z],[note 16]
11-May-2023,Thu,96%,116%,107%,101%,87%,77%,82%,87%,91%,[x],[z],[note 16]
12-May-2023,Fri,99%,118%,107%,103%,81%,71%,68%,86%,91%,[x],[z],[note 16]
13-May-2023,Sat,104%,127%,116%,109%,80%,69%,98%,95%,96%,[x],[z],[note 16]
14-May-2023,Sun,107%,136%,129%,113%,81%,69%,104%,93%,106%,[x],[z],[note 16]
15-May-2023,Mon,97%,119%,109%,102%,79%,70%,75%,83%,90%,[x],[z],[z]
16-May-2023,Tue,96%,118%,107%,102%,80%,71%,83%,86%,94%,[x],[z],[z]
17-May-2023,Wed,97%,118%,108%,102%,77%,68%,82%,85%,89%,[x],[z],[z]
18-May-2023,Thu,97%,116%,108%,102%,81%,72%,86%,85%,91%,[x],[z],[z]
19-May-2023,Fri,99%,116%,105%,103%,87%,77%,80%,87%,89%,[x],[z],[z]
20-May-2023,Sat,105%,126%,115%,109%,90%,81%,103%,95%,96%,[x],[z],[z]
21-May-2023,Sun,110%,140%,132%,117%,91%,82%,102%,95%,110%,[x],[z],[z]
22-May-2023,Mon,99%,120%,110%,104%,90%,82%,76%,84%,89%,[x],[z],[z]
23-May-2023,Tue,97%,118%,107%,102%,90%,82%,82%,84%,93%,[x],[z],[z]
24-May-2023,Wed,98%,118%,108%,103%,91%,83%,82%,85%,89%,[x],[z],[z]
25-May-2023,Thu,99%,118%,107%,104%,91%,83%,85%,86%,91%,[x],[z],[z]
26-May-2023,Fri,104%,121%,106%,108%,88%,81%,79%,86%,90%,[x],[z],[z]
27-May-2023,Sat,108%,130%,117%,113%,88%,81%,103%,94%,97%,[x],[z],[z]
28-May-2023,Sun,111%,135%,118%,116%,89%,82%,114%,96%,121%,[x],[z],[z]
29-May-2023,Mon (BH),90%,84%,47%,87%,92%,84%,102%,96%,[x],[x],[z],[note 8]
30-May-2023,Tue,97%,115%,103%,101%,91%,84%,84%,86%,82%,[x],[z],[z]
31-May-2023,Wed,97%,114%,107%,101%,88%,80%,70%,88%,79%,[x],[z],[z]
01-Jun-2023,Thu,96%,111%,106%,100%,88%,80%,83%,86%,80%,[x],[z],[z]
02-Jun-2023,Fri,99%,112%,104%,102%,85%,77%,71%,88%,80%,[x],[z],[z]
03-Jun-2023,Sat,106%,124%,115%,109%,78%,69%,82%,93%,95%,[x],[z],[z]
04-Jun-2023,Sun,113%,140%,130%,119%,77%,68%,91%,96%,111%,[x],[z],[z]
05-Jun-2023,Mon,98%,118%,108%,103%,76%,67%,74%,84%,89%,[x],[z],[z]
06-Jun-2023,Tue,97%,118%,107%,102%,77%,68%,81%,88%,92%,[x],[z],[z]
07-Jun-2023,Wed,97%,117%,107%,102%,81%,72%,83%,88%,89%,[x],[z],[z]
08-Jun-2023,Thu,98%,116%,106%,102%,81%,72%,83%,85%,90%,[x],[z],[z]
09-Jun-2023,Fri,100%,116%,105%,104%,87%,78%,76%,88%,89%,[x],[z],[z]
10-Jun-2023,Sat,104%,124%,112%,108%,92%,84%,90%,95%,93%,[x],[z],[z]
11-Jun-2023,Sun,111%,139%,132%,116%,93%,84%,96%,92%,107%,[x],[z],[z]
12-Jun-2023,Mon,99%,121%,109%,104%,92%,84%,74%,88%,87%,[x],[z],[z]
13-Jun-2023,Tue,98%,118%,107%,103%,93%,84%,83%,85%,92%,[x],[z],[z]
14-Jun-2023,Wed,98%,118%,107%,102%,92%,83%,83%,86%,88%,[x],[z],[z]
15-Jun-2023,Thu,98%,116%,107%,103%,93%,84%,81%,87%,89%,[x],[z],[z]
16-Jun-2023,Fri,101%,117%,105%,105%,93%,84%,79%,85%,88%,[x],[z],[z]
17-Jun-2023,Sat,107%,127%,112%,111%,94%,85%,104%,90%,94%,[x],[z],[z]
18-Jun-2023,Sun,113%,139%,126%,118%,94%,85%,100%,93%,103%,[x],[z],[z]
19-Jun-2023,Mon,99%,120%,109%,104%,94%,85%,74%,84%,85%,[x],[z],[z]
20-Jun-2023,Tue,96%,118%,106%,101%,94%,85%,79%,85%,86%,[x],[z],[z]
21-Jun-2023,Wed,97%,118%,108%,102%,95%,86%,81%,85%,87%,[x],[z],[z]
22-Jun-2023,Thu,97%,116%,106%,102%,95%,85%,80%,83%,88%,[x],[z],[z]
23-Jun-2023,Fri,101%,117%,105%,105%,91%,82%,73%,85%,86%,[x],[z],[z]
24-Jun-2023,Sat,105%,126%,113%,109%,90%,82%,91%,89%,95%,[x],[z],[z]
25-Jun-2023,Sun,111%,142%,133%,118%,90%,81%,97%,94%,108%,[x],[z],[z]
26-Jun-2023,Mon,100%,121%,110%,105%,90%,82%,77%,84%,85%,[x],[z],[z]
27-Jun-2023,Tue,96%,118%,106%,101%,90%,82%,82%,85%,88%,[x],[z],[z]
28-Jun-2023,Wed,97%,118%,106%,102%,94%,85%,81%,83%,84%,[x],[z],[z]
29-Jun-2023,Thu,98%,116%,105%,102%,94%,85%,86%,84%,86%,[x],[z],[z]
30-Jun-2023,Fri,101%,117%,104%,104%,98%,89%,82%,85%,83%,[x],[z],[z]
01-Jul-2023,Sat,106%,127%,112%,110%,99%,89%,98%,90%,94%,[x],[z],[z]
02-Jul-2023,Sun,112%,141%,130%,118%,99%,89%,98%,94%,109%,[x],[z],[z]
03-Jul-2023,Mon,99%,120%,108%,104%,98%,89%,78%,85%,83%,[x],[z],[z]
04-Jul-2023,Tue,97%,117%,106%,101%,97%,88%,82%,84%,87%,[x],[z],[z]
05-Jul-2023,Wed,97%,118%,107%,102%,93%,84%,83%,82%,81%,[x],[z],[z]
06-Jul-2023,Thu,98%,117%,106%,103%,92%,83%,85%,86%,86%,[x],[z],[z]
07-Jul-2023,Fri,100%,116%,104%,104%,92%,83%,81%,82%,81%,[x],[z],[z]
08-Jul-2023,Sat,102%,122%,112%,105%,91%,82%,103%,86%,88%,[x],[z],[z]
09-Jul-2023,Sun,110%,139%,130%,115%,91%,82%,105%,91%,109%,[x],[z],[z]
10-Jul-2023,Mon,98%,119%,107%,103%,91%,82%,77%,83%,81%,[x],[z],[z]
11-Jul-2023,Tue,96%,117%,105%,101%,92%,82%,83%,84%,86%,[x],[z],[z]
12-Jul-2023,Wed,97%,117%,106%,101%,90%,81%,82%,85%,83%,[x],[z],[z]
13-Jul-2023,Thu,97%,115%,106%,101%,90%,81%,82%,86%,85%,[x],[z],[z]
14-Jul-2023,Fri,97%,114%,102%,101%,89%,80%,74%,82%,78%,[x],[z],[z]
15-Jul-2023,Sat,101%,123%,110%,105%,89%,80%,92%,92%,87%,[x],[z],[z]
16-Jul-2023,Sun,108%,137%,127%,113%,88%,79%,92%,97%,106%,[x],[z],[z]
17-Jul-2023,Mon,98%,117%,107%,103%,87%,78%,74%,84%,81%,[x],[z],[z]
18-Jul-2023,Tue,96%,116%,105%,101%,87%,78%,81%,85%,85%,[x],[z],[z]
19-Jul-2023,Wed,97%,116%,106%,102%,88%,78%,81%,85%,82%,[x],[z],[z]
20-Jul-2023,Thu,98%,116%,103%,102%,82%,73%,71%,87%,84%,[x],[z],[z]
21-Jul-2023,Fri,100%,115%,101%,103%,80%,71%,77%,86%,81%,[x],[z],[z]
22-Jul-2023,Sat,101%,121%,111%,104%,76%,68%,85%,91%,82%,[x],[z],[z]
23-Jul-2023,Sun,106%,133%,127%,111%,76%,67%,88%,94%,104%,[x],[z],[z]
24-Jul-2023,Mon,97%,116%,106%,101%,76%,68%,72%,82%,75%,[x],[z],[z]
25-Jul-2023,Tue,96%,116%,105%,101%,77%,68%,79%,86%,80%,[x],[z],[z]
26-Jul-2023,Wed,95%,114%,104%,99%,80%,71%,80%,89%,76%,[x],[z],[z]
27-Jul-2023,Thu,95%,113%,103%,99%,85%,77%,86%,90%,75%,[x],[z],[z]
28-Jul-2023,Fri,99%,113%,100%,102%,89%,80%,76%,89%,76%,[x],[z],[z]
29-Jul-2023,Sat,106%,124%,112%,110%,91%,82%,95%,102%,95%,[x],[z],[z]
30-Jul-2023,Sun,109%,136%,129%,114%,92%,82%,92%,95%,104%,[x],[z],[z]
31-Jul-2023,Mon,96%,115%,104%,100%,92%,82%,74%,84%,72%,[x],[z],[z]
01-Aug-2023,Tue,94%,112%,103%,99%,93%,83%,82%,91%,80%,[x],[z],[z]
02-Aug-2023,Wed,92%,109%,102%,96%,89%,80%,82%,83%,69%,[x],[z],[z]
03-Aug-2023,Thu,95%,109%,101%,98%,88%,79%,83%,88%,78%,[x],[z],[z]
04-Aug-2023,Fri,98%,111%,99%,101%,88%,78%,77%,87%,75%,[x],[z],[z]
05-Aug-2023,Sat,99%,118%,108%,102%,89%,80%,88%,87%,79%,[x],[z],[z]
06-Aug-2023,Sun,111%,136%,128%,116%,89%,80%,95%,103%,109%,[x],[z],[z]
07-Aug-2023,Mon,96%,113%,103%,100%,90%,81%,75%,87%,74%,[x],[z],[z]
08-Aug-2023,Tue,94%,111%,101%,98%,89%,80%,80%,84%,77%,[x],[z],[z]
09-Aug-2023,Wed,95%,111%,102%,99%,89%,80%,82%,90%,76%,[x],[z],[z]
10-Aug-2023,Thu,96%,110%,101%,100%,89%,80%,81%,87%,77%,[x],[z],[z]
11-Aug-2023,Fri,97%,110%,98%,100%,90%,81%,75%,88%,75%,[x],[z],[z]
12-Aug-2023,Sat,103%,120%,111%,106%,93%,84%,101%,95%,87%,[x],[z],[z]
13-Aug-2023,Sun,110%,135%,128%,115%,92%,83%,98%,93%,107%,[x],[z],[z]
14-Aug-2023,Mon,96%,114%,103%,100%,92%,83%,75%,88%,71%,[x],[z],[z]
15-Aug-2023,Tue,95%,112%,102%,99%,93%,84%,81%,87%,81%,[x],[z],[z]
16-Aug-2023,Wed,95%,112%,103%,99%,94%,85%,82%,94%,75%,[x],[z],[z]
17-Aug-2023,Thu,96%,111%,101%,100%,94%,85%,80%,85%,79%,[x],[z],[z]
18-Aug-2023,Fri,96%,109%,98%,99%,91%,83%,78%,88%,72%,[x],[z],[z]
19-Aug-2023,Sat,105%,123%,110%,108%,91%,82%,94%,94%,91%,[x],[z],[z]
20-Aug-2023,Sun,108%,134%,127%,113%,91%,82%,96%,99%,106%,[x],[z],[z]
21-Aug-2023,Mon,98%,115%,104%,102%,91%,83%,75%,86%,76%,[x],[z],[z]
22-Aug-2023,Tue,96%,112%,102%,99%,91%,82%,80%,87%,81%,[x],[z],[z]
23-Aug-2023,Wed,97%,114%,104%,101%,94%,85%,80%,87%,76%,[x],[z],[z]
24-Aug-2023,Thu,97%,112%,104%,101%,94%,85%,80%,86%,78%,[x],[z],[z]
25-Aug-2023,Fri,99%,110%,100%,101%,96%,87%,80%,88%,78%,[x],[z],[z]
26-Aug-2023,Sat,104%,121%,109%,107%,92%,83%,94%,95%,93%,[x],[z],[z]
27-Aug-2023,Sun,107%,129%,114%,112%,92%,83%,100%,98%,114%,[x],[z],[z]
28-Aug-2023,Mon (BH),91%,83%,47%,87%,95%,85%,99%,98%,[x],[x],[z],[note 8]
29-Aug-2023,Tue,96%,115%,102%,100%,95%,85%,83%,89%,81%,[x],[z],[z]
30-Aug-2023,Wed,95%,112%,105%,99%,89%,80%,82%,88%,78%,[x],[z],[z]
31-Aug-2023,Thu,94%,110%,104%,98%,91%,82%,82%,86%,78%,[x],[z],[z]
01-Sep-2023,Fri,98%,112%,102%,101%,84%,75%,69%,89%,80%,[x],[z],[z]
02-Sep-2023,Sat,107%,125%,114%,111%,84%,74%,88%,99%,97%,[x],[z],[z]
03-Sep-2023,Sun,112%,141%,129%,118%,84%,75%,95%,99%,111%,[x],[z],[z]
04-Sep-2023,Mon,98%,115%,105%,102%,83%,74%,77%,88%,83%,[x],[z],[z]
05-Sep-2023,Tue,95%,114%,105%,100%,84%,75%,82%,89%,89%,[x],[z],[z]
06-Sep-2023,Wed,96%,115%,106%,100%,85%,76%,84%,86%,87%,[x],[z],[z]
07-Sep-2023,Thu,95%,113%,105%,100%,84%,75%,83%,87%,90%,[x],[z],[z]
08-Sep-2023,Fri,99%,115%,104%,103%,91%,82%,76%,87%,88%,[x],[z],[note 24]
09-Sep-2023,Sat,106%,128%,110%,111%,95%,86%,92%,91%,91%,[x],[z],[note 24]
10-Sep-2023,Sun,110%,140%,130%,116%,95%,86%,93%,93%,108%,[x],[z],[note 24]
11-Sep-2023,Mon,97%,117%,107%,102%,94%,85%,76%,87%,92%,[x],[z],[note 24]
12-Sep-2023,Tue,95%,116%,105%,100%,94%,85%,81%,87%,95%,[x],[z],[z]
13-Sep-2023,Wed,96%,116%,106%,101%,93%,84%,83%,88%,93%,[x],[z],[z]
14-Sep-2023,Thu,96%,114%,105%,100%,93%,84%,84%,88%,94%,[x],[z],[z]
15-Sep-2023,Fri,100%,115%,103%,103%,90%,81%,77%,88%,92%,[x],[z],[z]
16-Sep-2023,Sat,105%,129%,114%,110%,90%,81%,93%,95%,94%,[x],[z],[z]
17-Sep-2023,Sun,106%,136%,129%,111%,90%,81%,85%,93%,107%,[x],[z],[z]
18-Sep-2023,Mon,96%,118%,107%,101%,90%,80%,74%,87%,93%,[x],[z],[z]
19-Sep-2023,Tue,94%,117%,105%,100%,89%,80%,80%,86%,95%,[x],[z],[z]
20-Sep-2023,Wed,93%,115%,105%,98%,93%,84%,82%,85%,89%,[x],[z],[z]
21-Sep-2023,Thu,95%,114%,104%,100%,93%,83%,84%,87%,97%,[x],[z],[z]
