NOT ADJUSTED,Jan. 2023,Feb. 2023,Mar. 2023,Apr. 2023,May 2023,Jun. 2023,Jul. 2023,Aug. 2023,Sep. 2023,Oct. 2023,Nov. 2023,Dec. 2023,TOTAL
Retail sales and food services excl motor vehicle and parts and gasoline stations,"503,651","500,695","495,044","498,721","502,159","503,189","506,510","507,769","510,657","512,148","514,064","516,403",
"Retail sales, total","603,496","598,274","590,606","594,962","596,688","598,006","599,270","604,187","609,181","606,596","606,035","608,730",
"Retail sales, total (excl. motor vehicle and parts dealers)","469,715","467,768","461,446","463,979","464,735","464,565","467,213","471,330","474,956","474,313","472,910","474,976",
GAFO(1),"133,099","131,053","128,247","128,689","128,712","129,037","129,730","129,850","129,690","129,246","129,255","130,176",
Motor vehicle and parts dealers,"133,781","130,506","129,160","130,983","131,953","133,441","132,057","132,857","134,225","132,283","133,125","133,754",
Automobile and other motor vehicle dealers,"123,039","119,623","118,674","120,004","120,870","122,210","120,738","121,566","122,893","120,903","121,754","122,394",
"Automotive parts, acc., and tire stores","10,742","10,883","10,486","10,979","11,083","11,231","11,319","11,291","11,332","11,380","11,371","11,360",
"Furniture, home furn, electronics, and appliance stores","20,996","19,882","19,623","19,175","19,157","19,379","18,927","18,911","19,121","18,841","18,827","18,561",
Furniture and home furnishings stores,"12,964","12,159","11,835","11,553","11,446","11,608","11,351","11,264","11,315","11,049","11,319","11,198",
Electronics and appliance stores,"8,032","7,723","7,788","7,622","7,711","7,771","7,576","7,647","7,806","7,792","7,508","7,363",
Building mat. and garden equip. and supplies dealers,"43,082","42,685","40,867","41,077","41,919","41,118","41,014","41,205","41,018","40,940","40,841","40,963",
Building mat. and supplies dealers,"37,295","36,822","35,435","35,445","36,106","35,423","35,375","35,601","35,312","35,307","35,254","35,508",
Food and beverage stores,"81,347","81,935","81,425","81,206","81,288","81,181","81,384","81,920","81,986","82,114","82,181","82,158",
Grocery stores,"72,793","73,572","73,158","72,913","72,807","72,732","72,878","73,463","73,448","73,546","73,583","73,465",
"Beer, wine and liquor stores","6,113","5,934","5,871","5,949","6,021","5,949","5,986","5,953","6,014","6,034","6,040","6,148",
Health and personal care stores,"35,002","35,582","35,682","36,074","36,414","36,339","35,844","36,593","36,568","37,607","37,455","36,799",
Pharmacies and drug stores,"29,081","29,520","29,911","30,022","30,389","30,354","29,819","30,514","30,622","31,707","31,447","30,732",
Gasoline stations,"56,394","55,233","54,863","53,994","52,560","52,180","52,074","55,612","57,278","55,546","53,518","53,099",
Clothing and clothing access. stores,"26,045","25,559","25,387","25,155","25,195","25,286","25,584","25,922","25,579","25,516","25,764","26,147",
Clothing stores,"18,230","18,168","17,994","17,757","17,705","17,749","18,154","18,441","18,261","18,077","18,236","18,491",
Men's clothing stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),
Women's clothing stores,"3,195","3,115","3,070","3,020","3,109","3,052","3,128","3,121","3,135","3,106","3,127","3,153",
Shoe stores,"3,472","3,336","3,307","3,299","3,337","3,361","3,312","3,365","3,335","3,300","3,288","3,340",
Jewelry stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),
"Sporting goods, hobby, musical instrument, and book stores","8,663","8,556","8,554","8,616","8,574","8,513","8,777","8,489","8,463","8,439","8,501","8,364",
General merchandise stores,"74,707","74,429","72,099","73,169","73,235","73,392","73,793","74,121","74,091","74,007","73,841","74,767",
Department stores,"11,770","11,516","11,231","11,124","11,106","10,797","10,975","11,071","11,017","10,880","10,671","10,989",
Other general merchandise stores,"62,937","62,913","60,868","62,045","62,129","62,595","62,818","63,050","63,074","63,127","63,170","63,778",
Warehouse clubs and superstores,"54,233","54,163","52,216","53,403","53,394","53,878","53,871","54,242","54,168","54,224","54,243","54,725",
All other gen. merchandise stores,"8,704","8,750","8,652","8,642","8,735","8,717","8,947","8,808","8,906","8,903","8,927","9,053",
Miscellaneous stores retailers,"14,618","14,323","14,121","14,437","14,338","14,687","14,474","13,883","14,606","14,774","14,747","14,745",
Nonstore retailers,"108,861","109,584","108,825","111,076","112,055","112,490","115,342","114,674","116,246","116,529","117,235","119,373",
Electronic shopping and mail order houses,"98,939","99,509","99,023","101,279","102,326","102,372","105,670","104,515","106,113","106,917","107,786","110,005",
Fuel dealers,"3,334","3,355","3,497","3,388","3,275","3,346","3,205","3,408","3,525","3,388","3,312","3,135",
Food services and drinking places,"90,330","88,160","88,461","88,736","89,984","90,804","91,371","92,051","92,979","93,381","94,672","94,526",
