,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Jan. 2020,Feb. 2020,Mar. 2020,Apr. 2020,May 2020,Jun. 2020,Jul. 2020,Aug. 2020,Sep. 2020,Oct. 2020,Nov. 2020,Dec. 2020,TOTAL,
Retail sales and food services excl motor vehicle and parts and gasoline stations,"379,692","380,935","366,704","315,773","356,539","386,277","393,671","396,885","403,675","402,484","399,673","399,082",,
"Retail sales, total","456,420","456,401","429,196","376,918","443,726","473,811","480,116","482,243","491,386","489,705","487,287","495,533",,
"Retail sales, total (excl. motor vehicle and parts dealers)","354,103","353,437","353,248","311,455","345,332","366,984","373,614","375,033","380,514","379,428","378,072","384,194",,
GAFO(1),"110,418","110,211","95,314","70,787","88,329","104,522","106,107","105,379","109,953","109,101","107,110","108,130",,
Motor vehicle and parts dealers,"102,317","102,964","75,948","65,463","98,394","106,827","106,502","107,210","110,872","110,277","109,215","111,339",,
Automobile and other motor vehicle dealers,"94,327","95,047","68,873","58,737","90,080","97,914","97,797","98,517","102,320","102,032","100,958","103,058",,
"Automotive parts, acc., and tire stores","7,990","7,917","7,075","6,726","8,314","8,913","8,705","8,693","8,552","8,245","8,257","8,281",,
"Furniture, home furn, electronics, and appliance stores","17,834","17,566","13,982","7,335","11,296","15,751","16,882","17,490","17,363","17,664","17,182","17,128",,
Furniture and home furnishings stores,"10,405","10,239","7,977","3,971","7,159","9,917","10,230","10,736","10,798","10,666","10,452","10,657",,
Electronics and appliance stores,"7,429","7,327","6,005","3,364","4,137","5,834","6,652","6,754","6,565","6,998","6,730","6,471",,
Building mat. and garden equip. and supplies dealers,"32,015","32,081","31,953","31,734","36,132","36,468","35,941","36,389","36,819","36,278","36,532","36,471",,
Building mat. and supplies dealers,"28,011","28,121","28,044","27,545","31,416","31,668","31,307","31,811","32,025","31,679","31,898","31,880",,
Food and beverage stores,"64,626","64,741","81,748","70,991","72,203","70,807","71,251","70,182","70,133","69,628","70,535","70,450",,
Grocery stores,"57,885","57,922","74,168","64,097","64,573","63,140","63,546","62,387","62,303","61,887","62,798","62,749",,
"Beer, wine and liquor stores","4,848","4,835","5,603","5,154","5,628","5,627","5,669","5,754","5,725","5,640","5,664","5,586",,
Health and personal care stores,"29,318","29,680","31,032","26,361","26,900","28,822","30,474","30,019","30,429","30,384","29,955","30,157",,
Pharmacies and drug stores,"24,154","24,526","27,154","24,185","23,998","24,963","25,692","25,216","25,688","25,458","25,140","25,254",,
Gasoline stations,"43,402","41,481","35,024","27,076","30,045","33,866","35,471","36,328","36,584","36,510","35,533","38,879",,
Clothing and clothing access. stores,"22,854","22,679","11,435","2,885","8,345","17,254","17,984","18,300","20,719","20,229","19,275","20,072",,
Clothing stores,"16,578","16,529","7,882","1,818","5,262","11,495","12,196","12,736","14,331","14,034","13,283","13,711",,
Men's clothing stores,799,794,347,86,156,351,503,467,470,(S),(S),513,,
Women's clothing stores,"3,313","3,272","1,519",502,"1,020","2,201","2,610","2,694","2,887","2,817","2,635","2,702",,
Shoe stores,"3,128","3,135","1,680",486,"1,650","3,046","2,702","2,285","3,013","2,929","2,678","2,875",,
Jewelry stores,"2,882","2,741","1,717",558,"1,373","2,556","2,894","3,044","3,115","3,010","3,067","3,239",,
"Sporting goods, hobby, musical instrument, and book stores","6,705","6,682","5,508","3,683","6,432","8,113","7,851","7,319","7,790","7,686","7,590","7,635",,
General merchandise stores,"60,539","60,821","62,573","55,973","60,914","61,590","61,365","60,132","61,876","61,206","60,817","61,041",,
Department stores,"10,844","10,817","8,811","6,206","8,700","9,514","9,524","9,379","10,258","9,856","9,636","9,704",,
Other general merchandise stores,"49,695","50,004","53,762","49,767","52,214","52,076","51,841","50,753","51,618","51,350","51,181","51,337",,
Warehouse clubs and superstores,"42,829","43,074","45,739","42,366","44,271","44,194","44,094","43,061","43,898","43,693","43,648","43,972",,
All other gen. merchandise stores,"6,866","6,930","8,023","7,401","7,943","7,882","7,747","7,692","7,720","7,657","7,533","7,365",,
Miscellaneous stores retailers,"11,531","11,483","9,686","7,037","8,698","10,633","11,174","11,425","11,466","11,542","11,625","12,255",,
Nonstore retailers,"65,279","66,223","70,307","78,380","84,367","83,680","85,221","87,449","87,335","88,301","89,028","90,106",,
Electronic shopping and mail order houses,"57,781","58,485","63,159","72,479","78,235","76,942","77,454","79,717","79,367","79,907","81,347","82,340",,
Fuel dealers,"2,609","2,574","2,362","2,301","2,350","2,278","2,408","2,438","2,540","2,327","2,195","2,487",,
Food services and drinking places,"68,991","68,979","48,480","31,394","41,252","53,159","55,528","58,180","59,745","59,566","57,134","53,767",,
