,Jan. 2019,Feb. 2019,Mar. 2019,Apr. 2019,May 2019,Jun. 2019,Jul. 2019,Aug. 2019,Sep. 2019,Oct. 2019,Nov. 2019,Dec. 2019,TOTAL,
"Retail and food services sales, total","500,208","500,928","508,944","509,564","512,930","513,716","518,274","521,348","518,188","519,795","523,120","524,954",,
Retail sales and food services excl motor vehicle and parts,"400,975","400,446","405,566","408,179","409,972","411,009","414,802","415,683","414,939","416,565","417,162","421,008",,
Retail sales and food services excl gasoline stations,"460,206","459,437","465,739","464,830","469,019","471,548","475,443","478,545","475,744","476,834","480,236","480,804",,
Retail sales and food services excl motor vehicle and parts and gasoline stations,"360,973","358,955","362,361","363,445","366,061","368,841","371,971","372,880","372,495","373,604","374,278","376,858",,
"Retail sales, total","438,860","439,249","446,687","446,833","449,524","449,409","453,221","456,082","452,230","453,365","456,587","457,253",,
"Retail sales, total (excl. motor vehicle and parts dealers)","339,627","338,767","343,309","345,448","346,566","346,702","349,749","350,417","348,981","350,135","350,629","353,307",,
GAFO(1),"107,756","107,292","108,554","108,375","108,350","108,545","109,508","109,083","108,403","108,746","109,246","110,332",,
Motor vehicle and parts dealers,"99,233","100,482","103,378","101,385","102,958","102,707","103,472","105,665","103,249","103,230","105,958","103,946",,
Automobile and other motor vehicle dealers,"91,481","92,478","95,268","93,287","94,885","94,602","95,380","97,492","95,207","95,131","97,828","95,904",,
"Automotive parts, acc., and tire stores","7,752","8,004","8,110","8,098","8,073","8,105","8,092","8,173","8,042","8,099","8,130","8,042",,
"Furniture, home furn, electronics, and appliance stores","17,489","17,419","17,519","17,425","17,656","17,668","17,732","17,653","17,812","17,632","17,719","17,823",,
Furniture and home furnishings stores,"9,778","9,804","9,889","9,958","10,032","10,098","10,125","10,093","10,252","10,132","10,185","10,239",,
Electronics and appliance stores,"7,711","7,615","7,630","7,467","7,624","7,570","7,607","7,560","7,560","7,500","7,534","7,584",,
Building mat. and garden equip. and supplies dealers,"32,019","30,501","30,834","30,855","30,572","30,622","31,137","31,469","31,151","31,076","31,164","31,527",,
Building mat. and supplies dealers,"27,906","26,596","26,985","27,272","27,109","26,925","27,215","27,565","27,206","27,053","27,039","27,530",,
Food and beverage stores,"64,131","62,976","64,087","64,304","64,292","64,586","65,380","65,444","64,867","64,643","64,816","65,335",,
Grocery stores,"57,470","56,351","57,446","57,652","57,652","57,913","58,604","58,671","58,124","57,880","58,049","58,537",,
"Beer, wine and liquor stores","4,673","4,660","4,675","4,662","4,678","4,716","4,786","4,790","4,767","4,780","4,801","4,855",,
Health and personal care stores,"28,785","29,126","29,035","28,936","29,185","29,029","28,895","28,902","28,825","29,107","28,827","28,517",,
Pharmacies and drug stores,"23,914","24,309","24,202","24,198","24,372","24,164","24,004","24,047","23,772","24,111","23,758","23,539",,
Gasoline stations,"40,002","41,491","43,205","44,734","43,911","42,168","42,831","42,803","42,444","42,961","42,884","44,150",,
Clothing and clothing access. stores,"21,976","22,033","22,357","22,306","22,116","22,119","22,450","22,412","22,216","22,283","22,247","23,116",,
Clothing stores,"16,060","15,991","16,317","16,237","16,169","16,171","16,313","16,274","16,094","16,295","16,259","16,974",,
Men's clothing stores,795,739,763,770,764,763,772,780,782,789,805,802,,
Women's clothing stores,"3,198","3,146","3,214","3,183","3,218","3,161","3,186","3,157","3,188","3,235","3,181","3,239",,
Shoe stores,"3,158","3,184","3,211","3,159","3,055","3,082","3,126","3,106","3,042","3,047","3,031","3,071",,
Jewelry stores,"2,551","2,653","2,615","2,693","2,666","2,622","2,787","2,796","2,840","2,723","2,711","2,803",,
"Sporting goods, hobby, musical instrument, and book stores","6,431","6,500","6,541","6,659","6,684","6,739","6,617","6,684","6,661","6,713","6,473","6,684",,
General merchandise stores,"59,416","58,865","59,647","59,513","59,340","59,471","60,189","59,883","59,355","59,726","60,360","60,287",,
Department stores,"11,428","11,438","11,362","11,357","11,338","11,185","11,479","11,319","10,949","10,947","11,139","10,952",,
Other general merchandise stores,"47,988","47,427","48,285","48,156","48,002","48,286","48,710","48,564","48,406","48,779","49,221","49,335",,
Warehouse clubs and superstores,"41,270","40,757","41,577","41,397","41,356","41,566","41,925","41,784","41,705","42,049","42,447","42,538",,
All other gen. merchandise stores,"6,718","6,670","6,708","6,759","6,646","6,720","6,785","6,780","6,701","6,730","6,774","6,797",,
Miscellaneous stores retailers,"10,429","10,563","10,700","10,895","11,078","11,062","10,939","11,150","11,065","11,232","11,416","11,242",,
Nonstore retailers,"58,949","59,293","59,384","59,821","61,732","63,238","63,579","64,017","64,585","64,762","64,723","64,626",,
Electronic shopping and mail order houses,"51,075","51,561","51,786","52,282","54,163","55,447","55,764","56,111","56,742","57,039","56,850","56,622",,
Fuel dealers,"2,885","2,928","3,060","2,935","2,863","2,888","2,924","2,925","2,833","2,799","3,027","2,845",,
Food services and drinking places,"61,348","61,679","62,257","62,731","63,406","64,307","65,053","65,266","65,958","66,430","66,533","67,701",,
