Partner,,Y 2018,Y 2019,Y_2020,Y_2021,Y_2022,Y_2023
Cook Islands,,202306,0,65000,14782,42202,52889
Costa Rica,,60763210,54909273,39533553,50268321,54827151,68169100
Croatia,,1197045,2168638,1056296,10157112,1636633,1624562
Cuba,,25630,60460,27930,73423,69453,528363
Curacao,,6049615,4708025,4773142,5158883,7472492,9467894
Cyprus,,530679,640337,405528,1033420,1373227,980272
Czech Republic,,76792179,84738748,52463903,61079522,59993015,59223684
Denmark,,25706439,32796330,20719550,38025895,32134340,43565007
Djibouti,,803906,1033689,2455549,2727985,2010393,1500612
Dominica,,1821895,2608010,1264799,961551,1586080,1374400
Dominican Republic,,173808472,163529280,124325928,165477510,187948027,148814073
East Timor,,46738,24857,3888,214587,877727,4192
Ecuador,,97865701,81014308,82589444,111612227,94145919,102457084
Egypt,,75266817,66714462,70412790,97622427,154396779,169991982
El Salvador,,49420699,49712161,37259237,59076781,69290825,65011468
Equatorial Guinea,,4052864,5719530,3924703,1202814,3019891,1151453
Eritrea,,231650,18422,17400,0,0,242944
Estonia,,6927640,5118820,1393622,3045605,2203660,2460614
Ethiopia,,7897965,8079183,4875952,6759167,7010856,7756431
Falkland Islands,,4100,0,0,0,0,2823
Faroe Islands,,4405,59724,12880,0,0,234375
Fed States of Micronesia,,196152,881509,275169,272895,125927,2292051
Fiji,,1113239,557786,231277,190985,636257,912373
Finland,,38559965,36934653,15872427,19966752,20488003,21841200
France,,447151657,475124247,343901049,354513910,392897992,444220490
French Guiana,,935910,428775,1942640,295448,379097,76262
French Polynesia,,2614505,2470679,1048198,1094875,1853887,6765242
French S. Antarctic Terr,,0,0,0,4517,16339,0
Gabon,,1337442,2162469,1552557,981006,1544946,4002036
Gambia,,1923265,2054858,2066359,2029978,1453018,1467456
Gaza Strip,,12627,3483,0,0,0,0
Georgia,,18265727,26164364,21188575,50405208,39662664,58855504
Germany,,2510446944,2182973052,1760177517,1998615746,2233079487,2539416813
Ghana,,24600185,25030544,39294777,48243194,41359535,27038489
Gibraltar,,531005,1019721,67408,30190,3588,24903
Greece,,6225550,6921523,6563786,8542416,10650129,6503432
Greenland,,63640,117009,69288,94833,126352,115729
Grenada,,1598011,1603847,2465847,2013154,2734845,3066436
Guadeloupe,,1449484,837018,1055295,459338,686638,362663
Guatemala,,103035050,86430040,83488740,138652773,142210444,147197709
Guinea,,4822160,5107433,4607359,6513811,3526609,1472127
Guinea-Bissau,,16896,18390,6076,23350,3500,0
Guyana,,10286756,10028287,23197067,14035763,19227685,17801488
Haiti,,10773343,9797253,17488714,19929554,10845687,7873349
Heard Isl & McDonald Isl,,13340,0,0,0,0,8218
Honduras,,78084055,75881705,53466989,92699517,107496983,112840116
Hong Kong,,621361030,529905366,445266685,391599376,402406356,298871338
Hungary,,139797521,147575930,111879122,128251995,141045561,181075113
Iceland,,5389578,5486108,3083269,3648519,4309742,4108672
India,,637471291,541940971,445003237,612418744,797568003,780580648
Indonesia,,53641754,54640693,51337057,59844500,101005969,107810264
Iran,,78250,143820,57000,28500,28500,2880
Iraq,,32389795,32610938,32693520,35944588,34970568,47099091
Ireland,,26231197,29928099,20946422,21866333,16326814,26542170
Israel,,62301926,62632177,70826414,76471698,103398623,93035136
Italy,,837015834,719312974,770453789,448105213,547726530,574939832
Ivory Coast,,3329143,3132831,3921405,4523225,2480690,3263094
Jamaica,,18846746,18025311,15154041,14491990,18092032,19339893
Japan,,1927854286,1548224267,1150140916,1385489032,1594748758,1559914790
Jordan,,19286251,12377284,17139939,24431754,26248209,56489440
Kazakhstan,,11587280,8926268,10069100,15587030,20599730,33280478
Kenya,,3512585,6412976,4352683,10284682,3116980,4628792
Kiribati (Gilbert Isl),,83065,30379,66210,49116,13981,0
Korea,,793461244,718152373,557704924,581170164,645849525,638071053
Kosovo,,101193,271911,2432405,617986,379466,102929
Kuwait,,49709935,79327933,52322871,50561240,53345535,50213572
Kyrgyzstan,,1247764,902673,1880178,1335644,2493268,12286174
Laos,,54975,43761,61328,26236,87407,79918
Latvia,,5586506,6463974,7972779,4028658,4457159,7138307
Lebanon,,36677305,25530959,9716239,35599447,36797235,17352546
